density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_pi,R2_pi,R3_pi
1.069228183200783,0.12460052095934963,10.193177120946293,3.5116869833254087,0.2060429833936693,1.3190529264207587,0.4266536622942347,6.934370338802472
1.0,1.9997143435046771,13.717736138867041,1.0,0.2,0.206523465157812,1.1661693945012537,1.0530577455785213
1.0,3.1708541305916196,1.0,14.331211293169218,0.2,0.206523465157812,1.3108067503408503,0.688259109311741
1.0,1.2488879068488399,1.0,3.8948010284470067,0.2,0.206523465157812,1.016963622312796,1.6673769443852549
1.9686379814045218,0.936723386157508,1.0,1.0,0.6323442219571102,0.20709796593788607,0.9031060643750639,2.5045812912848926
1.0,2.071762400040301,1.0,17.067868165987306,0.3355779524253306,0.206523465157812,1.1773895127664336,1.0210952482420628
1.0,3.2336108146926064,30.0,1.0,0.6655029417857965,0.206523465157812,1.3171824377696097,0.6776049435329214
1.549617292407762,0.07153545137333861,3.357640213693827,1.0,0.33622856281465674,0.20709796593788607,0.3141367821233688,18.10334540805455
1.0,2.5896058883429203,1.0,6.916357420473104,0.6198007886554917,0.206523465157812,1.2479441634881279,0.8197315150223738
1.0,1.0507023984149801,1.0,1.0,0.262680414255243,0.206523465157812,0.958738917762915,1.9963775836352016
1.0,1.4385915712298774,1.0,1.0,0.2817599953488914,0.206523465157812,1.0599602065529492,1.4566375452802047
1.0,1.7169952633810244,21.172425110531112,1.0,1.0,0.206523465157812,1.1175471733334559,1.2203281483059878
1.0217616380170667,0.01,12.525273469386166,5.758374569967681,0.24062422040266357,1.2892854039343804,0.5676444778361026,4.674621777114852
1.0,2.9217457936751234,1.0,1.0,1.0,0.206523465157812,1.2860291457217266,0.7383336884721926
1.5901840956557256,2.967950128185195,10.608236363223895,1.0,0.34726525784591866,0.206523465157812,1.2884867057483005,0.7336458555295121
1.0,4.469680934570211,30.0,1.0,0.2,0.206523465157812,1.4276952264187648,0.5143831238014064
1.0,1.9467315663897082,1.0,11.751033789937239,0.24398982836651503,0.206523465157812,1.1572467659902412,1.081823993181334
1.0,2.210005077174454,17.00364521022984,1.0,0.7222201669417566,0.206523465157812,1.1968783712616613,0.9597272533560622
1.0,0.39919686074793514,1.0,1.3350793605490234,0.6438293110812314,0.206523465157812,0.6294465469398751,5.813978265501811
1.0,0.28440695171247987,1.0,1.0,0.2,0.20709796593788607,0.5200231475465027,8.184103984658002
1.0,0.8249970752423786,1.0,1.0,0.2,0.206523465157812,0.8804871575960331,2.5874707010441087
1.0,0.3242077346414812,18.44159500571381,1.0,0.4201000638844169,0.20709796593788607,0.5589075749195201,7.239505646707864
1.0,0.7898112034923411,1.0,30.0,0.5065542968487291,0.206523465157812,0.8667941875651807,2.707862774344769
1.1758938244896335,2.22714999115364,1.0,5.9272238638791634,0.7669009437839733,0.206523465157812,1.1991763655683114,0.9512039207330067
1.0,1.6272853977082067,1.0,1.0,0.6940862180376476,0.206523465157812,1.1016794599840822,1.2829746430854465
8.335634525829594,0.2764984106028023,3.137457063766631,1.0,0.2,0.20709796593788607,0.33174741280891507,17.506925207756233
